bbl,rs_units_19,rs_units_20,rs_units_21,total_units_19,total_units_20,total_units_21,boro,cd,ct_10,year_built,bldg_class,rs_share_19,rs_share_20,rs_share_21
1016820006,12,12,12,15,15,15,1,111,0180,1910,C7,0.8,0.8,0.8
1016820007,15,15,14,15,15,15,1,111,0180,1910,C4,1,1,0.9333333333333333
1016820050,13,13,13,13,13,13,1,111,0180,1910,C7,1,1,1
1016820051,2,0,4,12,12,12,1,111,0180,1910,C7,0.16666666666666666,0,0.3333333333333333
1016820052,17,17,17,17,17,17,1,111,0180,1910,C7,1,1,1
1016830003,7,7,7,7,7,7,1,111,0180,1910,C7,1,1,1
1016830005,8,8,8,8,8,8,1,111,0180,1900,C1,1,1,1
1016830006,8,8,8,8,8,8,1,111,0180,1900,C1,1,1,1
1016830008,25,25,0,25,25,25,1,111,0180,1920,C1,1,1,0
1016830010,12,12,12,12,12,12,1,111,0180,2009,D1,1,1,1
1016830033,18,18,18,18,18,18,1,111,0180,1920,C1,1,1,1
1016830036,14,14,14,14,14,14,1,111,0180,1910,C1,1,1,1
1016830044,25,25,25,26,26,26,1,111,0180,1910,C7,0.9615384615384616,0.9615384615384616,0.9615384615384616
1016830045,23,23,23,23,23,23,1,111,0180,1910,C7,1,1,1
1016830051,2,2,2,6,6,6,1,111,0180,1900,S9,0.3333333333333333,0.3333333333333333,0.3333333333333333
1016870008,7,7,7,15,15,15,1,111,0188,1910,C1,0.4666666666666667,0.4666666666666667,0.4666666666666667
1016870011,0,0,15,16,16,16,1,111,0188,1910,C1,0,0,0.9375
1016870014,37,37,37,37,37,37,1,111,0188,1998,D3,1,1,1
1016870028,7,0,7,7,7,7,1,111,0188,1900,C7,1,0,1
1016870038,20,20,20,20,20,20,1,111,0188,2003,D1,1,1,1
1016870043,9,9,9,9,9,9,1,111,0188,1910,C1,1,1,1
1016870104,6,6,6,6,6,6,1,111,0188,1910,S5,1,1,1
1016880035,5,5,5,10,10,10,1,111,0188,1910,C1,0.5,0.5,0.5
1016880037,8,8,8,8,8,8,1,111,0188,1900,C1,1,1,1
1016880040,20,0,0,29,29,29,1,111,0188,1910,C4,0.6896551724137931,0,0
1016880044,18,0,0,18,18,18,1,111,0188,1910,C4,1,0,0
1016880050,11,11,11,11,11,11,1,111,0188,1900,C7,1,1,1
1016890002,9,9,9,9,9,9,1,111,0188,1920,C7,1,1,1
1016890004,8,8,0,8,8,8,1,111,0188,1947,C7,1,1,0
1016890052,10,10,10,10,10,10,1,111,0188,1920,C7,1,1,1
1017080003,22,22,22,23,23,23,1,111,0178,1900,C7,0.9565217391304348,0.9565217391304348,0.9565217391304348
1017080007,0,0,14,20,20,20,1,111,0178,1910,C1,0,0,0.7
1017080010,0,0,8,8,8,8,1,111,0178,1910,C4,0,0,1
1017080011,0,0,8,10,10,10,1,111,0178,1910,C4,0,0,0.8
1017080013,0,0,8,9,9,9,1,111,0178,1900,C4,0,0,0.8888888888888888
1017080014,14,14,14,16,16,16,1,111,0178,1900,C4,0.875,0.875,0.875
1017080015,4,0,4,9,9,9,1,111,0178,1910,C4,0.4444444444444444,0,0.4444444444444444
1017080018,2,0,2,8,8,8,1,111,0178,1910,C4,0.25,0,0.25
1017080019,4,4,4,8,8,8,1,111,0178,1910,C4,0.5,0.5,0.5
1017080022,22,22,22,22,23,23,1,111,0178,1900,D7,1,0.9565217391304348,0.9565217391304348
1017080027,20,20,20,20,20,20,1,111,0178,1900,C4,1,1,1
1017080028,20,20,19,20,20,20,1,111,0178,1900,C4,1,1,0.95
1017080031,18,18,18,18,18,18,1,111,0178,1900,C7,1,1,1
1017080034,24,24,24,24,24,24,1,111,0178,1904,C1,1,1,1
1017080036,24,24,24,24,24,24,1,111,0178,1920,D3,1,1,1
1017080039,8,8,8,8,8,8,1,111,0178,1900,D5,1,1,1
1017080045,15,15,12,16,16,16,1,111,0178,1900,C7,0.9375,0.9375,0.75
1017090003,1,0,1,6,6,6,1,111,0178,1900,S9,0.16666666666666666,0,0.16666666666666666
1017090010,18,18,18,18,18,18,1,111,0178,1910,C1,1,1,1
1017090013,24,24,24,24,24,24,1,111,0178,1910,C1,1,1,1
1017090024,0,0,14,16,16,16,1,111,0178,1910,C1,0,0,0.875
1017090025,8,8,8,10,10,10,1,111,0178,1910,C1,0.8,0.8,0.8
1017090026,6,6,6,10,10,10,1,111,0178,1910,C1,0.6,0.6,0.6
1017090027,3,3,3,8,8,8,1,111,0178,1910,C7,0.375,0.375,0.375
1017090035,10,0,0,21,21,21,1,111,0178,1900,C7,0.47619047619047616,0,0
1017090036,8,0,8,22,22,22,1,111,0178,1900,C7,0.36363636363636365,0,0.36363636363636365
1017090038,7,0,7,22,22,22,1,111,0178,1900,C7,0.3181818181818182,0,0.3181818181818182
1017090040,13,0,0,13,13,13,1,111,0178,1900,C1,1,0,0
1017090048,1,1,1,11,11,11,1,111,0178,1920,C7,0.09090909090909091,0.09090909090909091,0.09090909090909091
1017100019,30,0,0,30,30,30,1,111,0178,1910,C1,1,0,0
1017100021,21,21,0,21,21,21,1,111,0178,1910,C1,1,1,0
1017100022,28,28,28,28,28,28,1,111,0178,1920,C7,1,1,1
1017100024,25,25,25,25,25,25,1,111,0178,1920,C7,1,1,1
1017100026,17,17,17,17,17,17,1,111,0178,1920,C1,1,1,1
1017100029,14,0,14,23,23,23,1,111,0178,1920,C7,0.6086956521739131,0,0.6086956521739131
1017100031,16,16,16,18,18,18,1,111,0178,1906,D1,0.8888888888888888,0.8888888888888888,0.8888888888888888
1017100036,35,35,35,37,37,37,1,111,0178,1900,D1,0.9459459459459459,0.9459459459459459,0.9459459459459459
1017100048,1,0,1,6,6,6,1,111,0178,1900,S5,0.16666666666666666,0,0.16666666666666666
1017100049,4,0,4,7,7,7,1,111,0178,1900,C7,0.5714285714285714,0,0.5714285714285714
1017110007,10,0,0,15,15,15,1,111,0178,1920,C4,0.6666666666666666,0,0
1017110021,4,4,4,10,10,10,1,111,0178,1920,C1,0.4,0.4,0.4
1017110026,20,0,20,20,20,20,1,111,0178,2015,D1,1,0,1
1017110121,9,9,0,10,10,10,1,111,0178,1920,C1,0.9,0.9,0
1017150001,2,0,1,8,8,8,1,111,0178,1900,C7,0.25,0,0.125
1017150048,12,12,12,12,12,12,1,111,0178,1900,C7,1,1,1
1017160047,1,1,1,10,10,10,1,111,0178,1910,C1,0.1,0.1,0.1
1017160051,39,39,39,39,39,39,1,111,0178,2010,D3,1,1,1
1017170005,4,0,0,4,4,4,1,110,0190,1963,C3,1,0,0
1017170009,10,10,10,10,10,10,1,110,0190,1909,C4,1,1,1
1017170010,10,10,10,10,10,10,1,110,0190,1909,C4,1,1,1
1017170011,10,10,10,10,10,10,1,110,0190,1909,C4,1,1,1
1017170019,20,20,20,20,20,20,1,110,0190,1909,C4,1,1,1
1017170022,34,35,35,35,35,35,1,110,0190,1940,D1,0.9714285714285714,1,1
1017170042,20,20,20,20,20,20,1,110,0190,1920,C4,1,1,1
1017170043,10,10,10,10,10,10,1,110,0190,1920,C4,1,1,1
1017170056,10,10,10,10,10,10,1,110,0190,1899,C4,1,1,1
1017170057,4,0,0,4,4,4,1,110,0190,1898,C3,1,0,0
1017170069,3,3,3,34,34,34,1,110,0190,1902,D4,0.08823529411764706,0.08823529411764706,0.08823529411764706
1017170107,3,3,3,7,7,7,1,110,0190,1909,C5,0.42857142857142855,0.42857142857142855,0.42857142857142855
1017180015,6,0,0,6,6,6,1,110,0200,1885,C5,1,0,0
1017180037,99,99,99,106,106,106,1,110,0200,1900,D7,0.9339622641509434,0.9339622641509434,0.9339622641509434
1017180048,10,10,10,12,12,12,1,110,0200,1895,C4,0.8333333333333334,0.8333333333333334,0.8333333333333334
1017180069,8,8,0,8,8,8,1,110,0200,1909,C7,1,1,0
1017200007,3,0,0,4,4,4,1,110,0200,1888,C3,0.75,0,0
1017200010,7,7,7,7,7,7,1,110,0200,1888,C5,1,1,1
1017200022,4,4,4,7,7,7,1,110,0200,1890,C5,0.5714285714285714,0.5714285714285714,0.5714285714285714
1017200054,11,11,0,11,11,11,1,110,0200,1889,C1,1,1,0
1017200061,3,3,6,8,8,8,1,110,0200,1889,C1,0.375,0.375,0.75
1017210049,8,8,0,8,8,8,1,110,0200,1885,C1,1,1,0
1017210063,29,29,29,41,41,41,1,110,0200,1900,D1,0.7073170731707317,0.7073170731707317,0.7073170731707317
1017210122,8,8,8,8,8,8,1,110,0200,1882,C1,1,1,1
1017220022,87,87,87,90,90,90,1,110,0200,1910,C5,0.9666666666666667,0.9666666666666667,0.9666666666666667
1017220039,24,24,22,24,24,24,1,110,0200,1940,C7,1,1,0.9166666666666666
1017220047,6,7,7,23,23,23,1,110,0200,1900,C7,0.2608695652173913,0.30434782608695654,0.30434782608695654
1017220145,1,1,1,8,8,8,1,110,0200,1909,C7,0.125,0.125,0.125
1017230023,48,42,47,48,49,49,1,110,0200,1900,D7,1,0.8571428571428571,0.9591836734693877
1017230062,8,8,8,8,8,8,1,110,0200,1910,C1,1,1,1
1017230153,8,8,0,8,8,8,1,110,0200,2013,C1,1,1,0
1017240001,12,12,12,12,12,12,1,110,0208,1910,C7,1,1,1
1017240014,8,8,8,8,8,8,1,110,0208,2013,C1,1,1,1
1017240019,4,0,0,4,4,4,1,110,0208,1909,C3,1,0,0
1017240050,24,24,24,24,24,24,1,110,0208,1910,D1,1,1,1
1017240053,5,2,2,24,24,24,1,110,0208,1910,D1,0.20833333333333334,0.08333333333333333,0.08333333333333333
1017240060,12,12,12,12,12,12,1,110,0208,1909,C1,1,1,1
1017240105,19,19,19,19,19,19,1,110,0208,2009,D3,1,1,1
1017250001,13,13,0,13,13,13,1,110,0208,1900,C7,1,1,0
1017250002,18,18,18,28,28,28,1,110,0208,1909,C7,0.6428571428571429,0.6428571428571429,0.6428571428571429
1017250005,0,0,20,20,20,20,1,110,0208,1909,C4,0,0,1
1017250009,18,18,18,18,18,18,1,110,0208,1920,D1,1,1,1
1017250033,20,20,20,25,25,25,1,110,0208,1900,D1,0.8,0.8,0.8
1017250046,20,20,20,20,20,20,1,110,0208,1909,C4,1,1,1
1017250064,15,15,15,16,16,16,1,110,0208,1920,C1,0.9375,0.9375,0.9375
1017250066,15,15,15,15,15,15,1,110,0208,1920,C1,1,1,1
1017250069,18,18,18,18,18,18,1,110,0208,1900,C7,1,1,1
1017250071,5,2,2,9,9,9,1,110,0208,1909,C7,0.5555555555555556,0.2222222222222222,0.2222222222222222
1017250072,5,3,3,9,9,9,1,110,0208,1909,C7,0.5555555555555556,0.3333333333333333,0.3333333333333333
1017250114,2,0,0,6,6,6,1,110,0208,1909,C2,0.3333333333333333,0,0
1017260006,14,14,14,15,15,15,1,110,0208,1910,C1,0.9333333333333333,0.9333333333333333,0.9333333333333333
1017260016,10,10,10,20,20,20,1,110,0208,1920,C4,0.5,0.5,0.5
1017260025,27,27,27,27,27,27,1,110,0208,2007,D1,1,1,1
1017260030,0,0,9,9,9,9,1,110,0208,1910,C1,0,0,1
1017260051,4,0,0,4,4,4,1,110,0208,1899,C3,1,0,0
1017260052,4,0,0,4,4,4,1,110,0208,1909,C3,1,0,0
1017260053,4,0,0,4,4,4,1,110,0208,1909,C3,1,0,0
1017260055,24,24,24,25,25,25,1,110,0208,1910,C1,0.96,0.96,0.96
1017260057,30,30,30,30,30,30,1,110,0208,1909,C4,1,1,1
1017260061,29,29,29,29,29,29,1,110,0208,1920,D1,1,1,1
1017260132,8,0,0,20,20,20,1,110,0208,2018,D1,0.4,0,0
1017270006,40,40,40,40,40,40,1,110,0208,1910,D1,1,1,1
1017270010,24,24,24,24,24,24,1,110,0208,1910,C1,1,1,1
1017270012,24,24,24,25,25,25,1,110,0208,1910,C1,0.96,0.96,0.96
1017270014,24,24,24,24,24,24,1,110,0208,1910,C1,1,1,1
1017270016,24,24,24,24,24,24,1,110,0208,1910,C1,1,1,1
1017270018,24,24,24,25,25,25,1,110,0208,1910,C1,0.96,0.96,0.96
1017270021,18,18,18,35,35,35,1,110,0208,1910,C1,0.5142857142857142,0.5142857142857142,0.5142857142857142
1017270024,2,0,0,5,5,5,1,110,0208,1920,C2,0.4,0,0
1017270029,10,10,10,10,10,10,1,110,0208,1909,C5,1,1,1
1017270052,11,11,11,11,11,11,1,110,0208,1883,C5,1,1,1
1017270053,11,11,11,11,11,11,1,110,0208,1883,C5,1,1,1
1017270123,10,10,10,10,10,10,1,110,0208,1910,C7,1,1,1
1017270139,6,0,0,10,10,10,1,110,0208,1909,C5,0.6,0,0
1017280001,9,9,9,9,9,9,1,110,0208,1900,C6,1,1,1
1017280003,9,9,9,9,9,9,1,110,0208,1901,C7,1,1,1
1017280006,14,14,14,14,14,14,1,110,0208,1920,D1,1,1,1
1017280021,9,9,9,12,12,12,1,110,0208,1909,C5,0.75,0.75,0.75
1017280042,8,8,8,8,8,8,1,110,0208,1910,C1,1,1,1
1017280050,20,20,20,20,20,20,1,110,0208,1900,C4,1,1,1
1017280051,24,24,25,25,25,25,1,110,0208,1920,D1,0.96,0.96,1
1017280053,15,15,15,15,15,15,1,110,0208,1910,C4,1,1,1
1017280056,14,14,14,14,14,14,1,110,0208,1900,C4,1,1,1
1017280067,4,0,0,4,4,4,1,110,0208,1899,C3,1,0,0
1017280072,9,9,9,9,9,9,1,110,0208,1900,C7,1,1,1
1017280143,4,0,0,4,4,4,1,110,0208,1910,C3,1,0,0
1017290006,4,0,0,5,5,5,1,110,0208,1910,C2,0.8,0,0
1017290007,8,8,8,20,20,20,1,110,0208,1900,C4,0.4,0.4,0.4
1017290009,9,9,9,20,20,20,1,110,0208,1900,C4,0.45,0.45,0.45
1017290025,10,10,10,10,10,10,1,110,0208,1900,C4,1,1,1
1017290027,10,10,10,10,10,10,1,110,0208,1900,C4,1,1,1
1017290033,8,8,8,9,9,9,1,110,0208,1900,C7,0.8888888888888888,0.8888888888888888,0.8888888888888888
1017290034,9,9,9,9,9,9,1,110,0208,1900,C7,1,1,1
1017290041,10,10,10,10,10,10,1,110,0208,1900,C4,1,1,1
1017290042,10,10,10,10,10,10,1,110,0208,1910,C4,1,1,1
1017290043,14,14,14,16,16,16,1,110,0208,2016,D1,0.875,0.875,0.875
1017290044,10,10,10,10,10,10,1,110,0208,1900,C4,1,1,1
1017290046,10,10,10,10,10,10,1,110,0208,1900,C4,1,1,1
1017290047,14,14,14,30,30,30,1,110,0208,1910,C4,0.4666666666666667,0.4666666666666667,0.4666666666666667
1017290052,47,0,0,47,47,47,1,110,0208,1972,D3,1,0,0
1017290105,4,0,0,4,4,4,1,110,0208,1910,C3,1,0,0
1017300009,283,282,273,286,286,286,1,110,0212,1959,D3,0.9895104895104895,0.986013986013986,0.9545454545454546
1017300025,281,280,276,286,286,286,1,110,0212,1959,D3,0.9825174825174825,0.9790209790209791,0.965034965034965
1017300036,196,196,193,286,286,286,1,110,0212,1958,D3,0.6853146853146853,0.6853146853146853,0.6748251748251748
1017300045,209,209,208,286,286,286,1,110,0212,1958,D3,0.7307692307692307,0.7307692307692307,0.7272727272727273
1017300064,203,203,203,286,286,286,1,110,0212,1959,D3,0.7097902097902098,0.7097902097902098,0.7097902097902098
1017300075,218,218,218,286,286,286,1,110,0212,1960,D3,0.7622377622377622,0.7622377622377622,0.7622377622377622
1017350008,21,21,21,21,21,21,1,110,0212,1920,D5,1,1,1
1017350020,18,18,18,18,18,18,1,110,0212,1920,C1,1,1,1
1017350022,18,18,18,18,18,18,1,110,0212,1920,C1,1,1,1
1017350024,18,18,18,18,18,18,1,110,0212,1920,C1,1,1,1
1017350025,18,18,18,18,18,18,1,110,0212,1920,C1,1,1,1
1017350030,17,17,17,18,18,18,1,110,0212,1920,C1,0.9444444444444444,0.9444444444444444,0.9444444444444444
1017350031,17,18,18,18,18,18,1,110,0212,1926,C1,0.9444444444444444,1,1
1017350032,18,18,18,18,18,18,1,110,0212,1920,C1,1,1,1
1017350033,16,16,16,20,20,20,1,110,0212,1920,C7,0.8,0.8,0.8
1017350034,15,15,15,18,18,18,1,110,0212,1920,C7,0.8333333333333334,0.8333333333333334,0.8333333333333334
1017350036,8,8,8,16,16,16,1,110,0212,1920,C7,0.5,0.5,0.5
1017350067,18,18,0,20,20,20,1,110,0212,1900,C4,0.9,0.9,0
1017450001,8,8,0,8,8,8,1,111,0184,1921,C7,1,1,0
1017450007,11,11,11,30,30,30,1,111,0184,1926,C1,0.36666666666666664,0.36666666666666664,0.36666666666666664
1017450050,15,15,15,18,18,18,1,111,0184,1900,C7,0.8333333333333334,0.8333333333333334,0.8333333333333334
1017490005,4,0,0,4,4,4,1,111,0198,1900,C9,1,0,0
1017490006,7,7,7,8,8,8,1,111,0198,1909,C1,0.875,0.875,0.875
1017490009,16,12,12,16,16,16,1,111,0198,1900,C4,1,0.75,0.75
1017490014,18,18,18,29,29,29,1,111,0198,1930,D1,0.6206896551724138,0.6206896551724138,0.6206896551724138
1017490016,26,26,26,36,36,36,1,111,0198,1915,D7,0.7222222222222222,0.7222222222222222,0.7222222222222222
1017490056,7,0,10,13,13,13,1,111,0198,1900,D6,0.5384615384615384,0,0.7692307692307693
1017490060,4,0,0,4,4,4,1,111,0198,1900,S4,1,0,0
1017490107,2,0,0,6,6,6,1,111,0198,1910,C2,0.3333333333333333,0,0
1017490160,6,6,6,6,6,6,1,111,0198,1910,S5,1,1,1
1017500025,4,4,4,7,7,7,1,111,0198,1930,C7,0.5714285714285714,0.5714285714285714,0.5714285714285714
1017500026,9,9,9,12,12,12,1,111,0198,1930,C7,0.75,0.75,0.75
1017500028,75,75,75,75,75,75,1,111,0198,2016,D6,1,1,1
1017500053,2,2,2,9,9,9,1,111,0198,1900,C7,0.2222222222222222,0.2222222222222222,0.2222222222222222
1017500065,4,0,0,4,4,4,1,111,0198,1909,C3,1,0,0
1017500104,6,6,6,6,6,6,1,111,0198,1910,S5,1,1,1
1017510014,4,0,0,4,4,4,1,111,0206,1909,C3,1,0,0
1017510015,9,0,0,9,9,9,1,111,0206,1909,C5,1,0,0
1017510057,5,0,0,5,5,5,1,111,0206,1909,C2,1,0,0
1017510058,13,0,0,13,13,13,1,111,0206,1909,C5,1,0,0
1017510063,4,0,0,4,4,4,1,111,0206,1909,C3,1,0,0
1017510065,4,0,0,4,4,4,1,111,0206,1909,C3,1,0,0
1017510071,23,24,0,28,28,28,1,111,0206,1921,D3,0.8214285714285714,0.8571428571428571,0
1017510156,8,8,8,10,10,10,1,111,0206,1909,C1,0.8,0.8,0.8
1017520010,8,8,8,8,8,8,1,111,0206,1900,C4,1,1,1
1017520014,24,24,24,25,25,25,1,111,0206,1905,C1,0.96,0.96,0.96
1017520067,6,0,0,6,6,6,1,111,0206,1905,C2,1,0,0
1017520069,14,14,14,14,14,14,1,111,0206,1900,C4,1,1,1
1017520070,24,24,24,24,24,24,1,111,0206,1921,C1,1,1,1
1017530009,10,10,10,10,10,10,1,111,0206,1909,C5,1,1,1
1017530011,20,20,19,24,24,24,1,111,0206,1921,C1,0.8333333333333334,0.8333333333333334,0.7916666666666666
1017530027,103,103,103,104,104,104,1,111,0206,1999,D9,0.9903846153846154,0.9903846153846154,0.9903846153846154
1017530044,9,9,9,10,10,10,1,111,0206,1920,C4,0.9,0.9,0.9
1017530049,10,10,10,10,10,10,1,111,0206,1910,C4,1,1,1
1017530052,32,32,32,32,32,32,1,111,0206,1920,N9,1,1,1
1017530057,16,16,16,16,16,16,1,111,0206,1920,C7,1,1,1
1017530069,33,33,34,36,36,36,1,111,0206,1921,C1,0.9166666666666666,0.9166666666666666,0.9444444444444444
1017530126,8,8,8,8,8,8,1,111,0206,2005,C1,1,1,1
1017540004,6,0,0,6,6,6,1,111,0206,1910,C4,1,0,0
1017540025,12,0,0,12,12,12,1,111,0206,2007,D1,1,0,0
1017540058,3,0,0,3,3,3,1,111,0206,1900,S3,1,0,0
1017550020,15,15,15,15,15,15,1,111,0206,1926,C4,1,1,1
1017550022,4,0,0,4,4,4,1,111,0206,1926,C3,1,0,0
1017550024,24,24,24,24,24,24,1,111,0206,1926,C4,1,1,1
1017550043,4,4,4,11,11,11,1,111,0206,1926,C1,0.36363636363636365,0.36363636363636365,0.36363636363636365
1017550047,40,40,40,40,40,40,1,111,0206,2009,D1,1,1,1
1017550050,39,39,39,39,39,39,1,111,0206,1926,D5,1,1,1
1017550143,4,4,4,10,10,10,1,111,0206,1926,C5,0.4,0.4,0.4
1017560008,20,20,20,20,20,20,1,111,0206,1926,C4,1,1,1
1017560024,65,65,65,65,65,65,1,111,0206,2010,D3,1,1,1
1017560026,47,47,47,47,47,47,1,111,0206,2011,D3,1,1,1
1017560030,28,0,0,28,28,28,1,111,0206,2008,D1,1,0,0
1017560037,10,10,0,10,10,10,1,111,0206,1900,C4,1,1,0
1017560039,61,0,61,61,61,61,1,111,0206,2008,D1,1,0,1
1017560065,10,10,10,10,10,10,1,111,0206,1920,C4,1,1,1
1017560113,10,10,10,10,10,10,1,111,0206,1900,C1,1,1,1
1017570001,168,174,162,527,527,527,1,111,0210,1947,D3,0.3187855787476281,0.3301707779886148,0.30740037950664134
1017600001,594,609,572,914,914,914,1,111,0210,1947,D9,0.649890590809628,0.6663019693654267,0.6258205689277899
1017670005,91,91,91,91,91,91,1,111,0182,1999,D9,1,1,1
1017670011,24,23,24,24,24,24,1,111,0182,1920,D9,1,0.9583333333333334,1
1017670021,16,16,16,16,16,16,1,111,0182,1910,C7,1,1,1
1017670022,41,41,40,42,42,42,1,111,0182,1920,D9,0.9761904761904762,0.9761904761904762,0.9523809523809523
1017670047,24,24,23,24,24,24,1,111,0182,1920,D9,1,1,0.9583333333333334
1017670060,20,20,20,21,21,21,1,111,0182,1910,C4,0.9523809523809523,0.9523809523809523,0.9523809523809523
1017680001,33,33,33,33,33,33,1,111,0196,1920,D7,1,1,1
1017680004,12,12,12,12,12,12,1,111,0196,1900,C4,1,1,1
1017680005,11,11,11,11,11,11,1,111,0196,1910,C5,1,1,1
1017680006,11,11,11,11,11,11,1,111,0196,1910,C4,1,1,1
1017680007,20,20,20,20,20,20,1,111,0196,1910,D9,1,1,1
1017680009,9,9,9,9,9,9,1,111,0196,1920,C1,1,1,1
1017680011,4,0,0,4,4,4,1,111,0196,1910,C4,1,0,0
1017680033,90,90,90,90,90,90,1,111,0196,2008,D7,1,1,1
1017680038,13,13,13,15,15,15,1,111,0196,1910,C7,0.8666666666666667,0.8666666666666667,0.8666666666666667
1017680111,4,0,0,4,4,4,1,111,0196,2011,D9,1,0,0
1017700021,16,16,16,22,22,22,1,111,0196,1900,C4,0.7272727272727273,0.7272727272727273,0.7272727272727273
1017700023,5,0,0,5,5,5,1,111,0196,1900,C4,1,0,0
1017700041,7,0,0,7,7,7,1,111,0196,1900,C7,1,0,0
1017700042,4,0,0,4,4,4,1,111,0196,2010,C3,1,0,0
1017700048,11,0,0,11,11,11,1,111,0196,2010,D1,1,0,0
1017700050,60,60,60,60,60,60,1,111,0196,2002,D7,1,1,1
1017710006,1,0,0,10,10,10,1,111,0196,1900,C4,0.1,0,0
1017710014,21,21,21,21,21,21,1,111,0196,1950,D5,1,1,1
1017710017,10,10,10,10,10,10,1,111,0196,2015,D6,1,1,1
1017710052,9,9,9,12,12,12,1,111,0196,1910,C7,0.75,0.75,0.75
1017710056,31,31,31,31,31,31,1,111,0196,1920,D7,1,1,1
1017710068,9,9,0,18,18,18,1,111,0196,1900,C1,0.5,0.5,0
1017710072,8,0,0,10,10,10,1,111,0196,1920,C1,0.8,0,0
1017720013,18,18,18,22,22,22,1,111,0196,1920,D3,0.8181818181818182,0.8181818181818182,0.8181818181818182
1017720017,15,15,0,21,21,21,1,111,0196,1920,C4,0.7142857142857143,0.7142857142857143,0
1017720020,12,12,0,12,12,12,1,111,0196,1900,C7,1,1,0
1017720050,4,0,0,4,4,4,1,111,0196,1900,C3,1,0,0
1017720055,16,16,16,16,16,16,1,111,0196,1920,C7,1,1,1
1017720150,8,8,8,8,8,8,1,111,0196,1900,C1,1,1,1
1017740051,16,16,16,30,30,30,1,111,0196,1940,D7,0.5333333333333333,0.5333333333333333,0.5333333333333333
1017740065,6,6,6,6,6,6,1,111,0196,1940,S5,1,1,1
1017750006,255,255,255,255,255,255,1,111,0242,1980,D1,1,1,1
1017750165,157,157,157,157,157,157,1,111,0242,1980,D9,1,1,1
1017780006,131,131,131,142,142,142,1,111,0242,1984,D9,0.9225352112676056,0.9225352112676056,0.9225352112676056
1017800075,140,140,140,140,140,140,1,111,0242,2012,D3,1,1,1
1017830003,0,0,2,8,8,8,1,111,0188,1900,C7,0,0,0.25
1017830012,76,76,76,76,76,76,1,111,0188,2007,D3,1,1,1
1017830023,22,24,24,24,24,24,1,111,0188,1910,C7,0.9166666666666666,1,1
1017830024,9,9,9,10,10,10,1,111,0188,1900,C4,0.9,0.9,0.9
1017830025,9,9,9,9,9,9,1,111,0188,1920,C7,1,1,1
1017830026,8,8,8,8,8,8,1,111,0188,1910,C7,1,1,1
1017830027,9,9,9,9,9,9,1,111,0188,1910,C7,1,1,1
1017830028,9,9,9,9,9,9,1,111,0188,1910,C4,1,1,1
1017830029,22,22,0,33,33,33,1,111,0188,1900,C7,0.6666666666666666,0.6666666666666666,0
1017830031,30,30,30,30,30,30,1,111,0188,1910,D3,1,1,1
1017830041,29,29,29,29,29,29,1,111,0188,1910,D9,1,1,1
1017830042,13,13,13,13,13,13,1,111,0188,1900,C4,1,1,1
1017830045,2,2,2,8,8,8,1,111,0188,1910,C7,0.25,0.25,0.25
1017840021,15,15,15,25,25,25,1,111,0194,1920,C7,0.6,0.6,0.6
1017850009,4,4,4,7,7,7,1,111,0194,1900,C4,0.5714285714285714,0.5714285714285714,0.5714285714285714
1017850019,10,9,0,11,11,11,1,111,0194,1900,C4,0.9090909090909091,0.8181818181818182,0
1017850020,4,4,4,10,10,10,1,111,0194,1900,C4,0.4,0.4,0.4
1017850025,9,9,9,10,10,10,1,111,0194,1900,C4,0.9,0.9,0.9
1017850026,8,8,8,8,8,8,1,111,0194,1900,C4,1,1,1
1017850027,9,9,0,9,9,9,1,111,0194,1900,C7,1,1,0
1017850028,8,8,0,8,8,8,1,111,0194,1900,C4,1,1,0
1017860001,60,60,60,60,60,60,1,111,0194,2008,D3,1,1,1
1017860007,24,24,0,33,33,33,1,111,0194,1920,C4,0.7272727272727273,0.7272727272727273,0
1017860018,64,64,64,64,64,64,1,111,0194,1999,I9,1,1,1
1017860027,0,0,28,34,34,34,1,111,0194,1900,C4,0,0,0.8235294117647058
1017860038,7,7,0,8,8,8,1,111,0194,1900,C7,0.875,0.875,0
1017860039,4,0,0,4,4,4,1,111,0194,1900,C4,1,0,0
1017860041,22,22,0,22,22,22,1,111,0194,1920,C7,1,1,0
1017860042,25,25,25,33,33,33,1,111,0194,1920,C4,0.7575757575757576,0.7575757575757576,0.7575757575757576
1017860046,10,10,10,10,10,10,1,111,0194,1910,C4,1,1,1
1017870060,148,148,148,148,148,148,1,111,0194,1974,D9,1,1,1
1017870070,208,208,208,208,208,208,1,111,0194,1974,D9,1,1,1
1017870080,92,92,92,92,92,92,1,111,0194,1974,D9,1,1,1
1017880022,15,15,15,15,15,15,1,111,0194,1920,C7,1,1,1
1017880043,15,15,15,15,15,15,1,111,0194,1910,C4,1,1,1
1017880044,7,7,7,15,15,15,1,111,0194,1910,C4,0.4666666666666667,0.4666666666666667,0.4666666666666667
1017890001,18,18,18,18,18,18,1,111,0242,2006,D7,1,1,1
1017890010,10,10,0,20,20,20,1,111,0242,1920,C4,0.5,0.5,0
1017890021,185,185,185,185,185,185,1,111,0242,2009,D6,1,1,1
1017890027,9,9,9,9,9,9,1,111,0242,1900,C1,1,1,1
1017890028,18,18,18,18,18,18,1,111,0242,1900,C7,1,1,1
