geoid,fc_geoid,fc_geo_type,fc_id_display,fc_geo_name,year,span,sum_level,geoid_full,geo_name,geo_type,pop_num,pop_u18_num,pop_65p_num,pop_18_64_num,pop_u18_pct,pop_65p_pct,pop_18_64_pct,pop_own_num,pop_rent_num,pop_own_pct,pop_rent_pct,pop_fam_num,pop_nonfam_num,pop_gq_num,pop_alone_num,pop_fam_pct,pop_nonfam_pct,pop_gq_pct,pop_alone_pct,pop_1_4_units_own_num,pop_1_4_units_rent_num,pop_1_4_units_num,pop_1_4_units_own_pct,pop_1_4_units_rent_pct,pop_1_4_units_pct,pop_5p_units_own_num,pop_5p_units_rent_num,pop_5p_units_num,pop_5p_units_own_pct,pop_5p_units_rent_pct,pop_5p_units_pct,pop_race_asian_num,pop_race_asian_pct,pop_race_black_num,pop_race_black_pct,pop_race_hisp_num,pop_race_white_num,pop_race_white_pct,pop_race_div_idx,pop_foreign_num,pop_lim_eng_num,pop_lim_eng_pct,pop16_unemp_pct,pop16_unemployed_num,pop_pov_num,pop_pov_pct,pop_edu_nohs_num,pop_edu_hs_num,pop_edu_somecoll_num,pop_edu_coll_num,pop_edu_grad_num,pop_edu_collp_num,pop_edu_nohs_pct,pop_edu_hs_pct,pop_edu_somecoll_pct,pop_edu_coll_pct,pop_edu_grad_pct,pop_edu_collp_pct,pop_mobile1_same_home_num,pop_mobile1_same_county_num,pop_mobile1_same_state_num,pop_mobile1_diff_state_num,pop_mobile1_abroad_num,pop_mobile1_same_home_pct,pop_mobile1_same_county_pct,pop_mobile1_same_state_pct,pop_mobile1_diff_state_pct,pop_mobile1_abroad_pct,hh_num,hh_senior_own_num,hh_senior_rent_num,hh_senior_own_alone_num,hh_senior_rent_alone_num,hh_family_num,hh_alone_num,hh_other_nonfam_num,hh_family_pct,hh_alone_pct,hh_other_nonfam_pct,hh_inc_avg,hh_inc_med,hh_inc_own_med,hh_inc_rent_med,hh_inc_earn_num,hh_inc_wage_num,hh_inc_self_emp_num,hh_inc_int_div_num,hh_inc_soc_sec_num,hh_inc_ssi_num,hh_inc_pubasst_num,hh_inc_pubasst_snap_num,hh_inc_retirement_num,hh_inc_other_num,hh_inc_earn_pct,hh_inc_wage_pct,hh_inc_self_emp_pct,hh_inc_int_div_pct,hh_inc_soc_sec_pct,hh_inc_ssi_pct,hh_inc_pubasst_pct,hh_inc_pubasst_snap_pct,hh_inc_retirement_pct,hh_inc_other_pct,unit_num,unit_built_pre1989_num,unit_built_pre1989_own_num,unit_built_pre1989_rent_num,unit_built_pre1989_pct,unit_built_pre1989_own_pct,unit_built_pre1989_rent_pct,unit_50p_unit_own_num,unit_50p_unit_rent_num,unit_50p_unit_num,unit_50p_unit_own_pct,unit_50p_unit_rent_pct,unit_50p_unit_pct,unit_occ_num,unit_occ_pct,unit_vac_num,unit_vac_pct,unit_occ_own_num,unit_occ_own_pct,unit_occ_rent_num,unit_occ_rent_pct,unit_vac_forrent_num,unit_vac_rented_num,unit_vac_forsale_num,unit_vac_sold_num,unit_vac_seasonal_num,unit_vac_migrant_num,unit_vac_other_num,unit_vac_rent_pct,unit_occ_rent_crowd_num,unit_occ_rent_sevcrowd_num,unit_occ_rent_crowd_pct,unit_occ_rent_sevcrowd_pct,unit_occ_white_num,unit_occ_white_rent_num,unit_occ_white_rent_pct,unit_occ_black_num,unit_occ_black_rent_num,unit_occ_black_rent_pct,unit_occ_asian_num,unit_occ_asian_rent_num,unit_occ_asian_rent_pct,unit_occ_hisp_num,unit_occ_hisp_rent_num,unit_occ_hisp_rent_pct,unit_occ_rent_child_num,unit_occ_rent_child_pct,unit_occ_rent_nochild_num,unit_occ_rent_nochild_pct,unit_rent_cash_num,unit_rent_cash_pct,unit_rent_cash_low_num,unit_rent_cash_moderate_num,unit_rent_cash_mod_high_num,unit_rent_cash_high_num,unit_rent_cash_low_pct,unit_rent_cash_moderate_pct,unit_rent_cash_mod_high_pct,unit_rent_cash_high_pct,own_cost_mort_med,own_cost_nomort_med,own_burden_med,own_burden_mort_med,own_burden_nomort_med,rent_gross_med,rent_contract_med,rent_burden_med,rent_burden_num,rent_burden_mod_num,rent_burden_sev_num,rent_burden_pct,rent_burden_mod_pct,rent_burden_sev_pct
3604006,308,sba,BK 08,North Crown Heights/Prospect Heights,2019,1,795,79500US3604006,"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",puma,128327,21898,17486,88943,0.170642187536528,0.136261270036703,0.693096542426769,33794,90896,0.263342866271322,0.708315475309171,83699,40991,3637,18520,0.652232188082009,0.319426153498484,0.0283416584195064,0.144318810538702,23822,21531,45353,0.704918032786885,0.236875110015842,0.36372604058064,9972,69365,79337,0.295081967213115,0.763124889984158,0.63627395941936,4060,0.0316379249885059,62682,0.48845527441614,18077,0.140866692122468,0.30790870198789,0.645759292888081,30464,0.237393533706858,NA,0.0411565228049628,3022,20166,0.159328113519108,10569,19618,12815,25761,20816,46577,0.111206978187902,0.206420522101453,0.134839381727501,0.271057144961542,0.219025873588737,0.490083018550279,107164,11242,3733,3395,985,0.847019024810503,0.0888562192239901,0.0295054497743422,0.0268339142737454,0.00778539191741952,55431,3454,7570,904,5014,26792,18520,10119,0.483339647489672,0.334109072540636,0.182551279969692,104893.799498476,74429,139342,61519,44617,43142,7472,10502,12460,4709,2280,11825,7753,2968,0.804910609586693,0.77830095073154,0.134798217603868,0.189460771048691,0.22478396565099,0.0849524634229944,0.0411322184337284,0.213328282008263,0.139867583121358,0.0535440457505728,60403,48761,10342,38419,0.879670220634663,0.870905263157895,0.882059876940031,1304,10090,11394,0.114446199754257,0.885553800245743,0.205552849488553,55431,0.917686207638693,4972,0.0823137923613066,11875,0.214230304342336,43556,0.785769695657665,864,389,43,400,729,0,2547,0.0194506978838361,2627,1149,0.0603131600697952,0.0263798328588484,18513,13420,0.724896019013666,29426,23730,0.806429688030993,1507,1070,0.710019907100199,6454,5688,0.881313913851875,6441,0.147878593075581,12144,0.278813481495087,41858,0.961015703921389,10865,9008,9713,5464,0.259568063452626,0.215203784222849,0.232046442734961,0.130536576042811,3409,896,22.4,27.2,10.1,1554,1434,0.277,18483,9358,9125,0.44898702813001,0.227323519409221,0.221663508720789
3604006,308,sba,BK 08,North Crown Heights/Prospect Heights,2021,1,795,79500US3604006,"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",puma,138614,25697,15353,97564,0.185385314614685,0.110760817810611,0.703853867574704,33162,102573,0.239239903617239,0.73999018858124,89990,45745,2879,22564,0.649212922215649,0.33001716998283,0.0207699078015208,0.162782980074163,23237,28958,52195,0.700711657921718,0.282316009086212,0.384536044498471,9925,73615,83540,0.299288342078282,0.717683990913788,0.615463955501529,7116,0.0513368058060513,60146,0.433909994661434,20790,0.14998485001515,0.281147647423781,0.707547194016552,36602,0.264057021657264,NA,0.104828850855746,8575,20287,0.147820257794682,11270,19627,11549,27363,25446,52809,0.108957316188911,0.189752018175666,0.111654662348335,0.264542949678542,0.246009571228308,0.51055252090685,113397,16606,4468,2561,713,0.823238593052379,0.120556100039929,0.0324367490653018,0.0185923264002323,0.00517623144215761,60668,2651,7879,719,3686,27817,22564,10287,0.458511900837344,0.371925891738643,0.169562207424013,109770.627019186,73101,146317,64786,49629,46445,9384,10822,11230,5396,5727,15076,9314,9449,0.818042460605261,0.765560097580273,0.154677919166612,0.178380694929782,0.185105821850069,0.088943100151645,0.0943990241972704,0.248500032966308,0.153524098371464,0.155749324190677,65757,50078,9416,40662,0.825443396848421,0.84890010818608,0.82019525576892,1304,9301,10605,0.122960867515323,0.877039132484677,0.174803850464825,60668,0.922608999802302,5089,0.0773910001976976,11092,0.182831146568207,49576,0.817168853431793,NA,NA,NA,NA,NA,NA,NA,NA,2657,1456,0.0535944812005809,0.0293690495401,18179,13163,0.724077231970956,27745,23529,0.84804469273743,2206,1642,0.744333635539438,8791,8078,0.918894323740189,7366,0.148579958044215,12562,0.253388736485396,48139,0.971014200419558,9851,9974,10831,6920,0.204636573256611,0.207191674110389,0.22499428737614,0.143750389497081,3908,919,22.6,28.2,9,1696,1604,0.297,23348,11547,11801,0.493396166606792,0.244014285412396,0.249381881194396
3604011,309,sba,BK 09,South Crown Heights,2019,1,795,79500US3604011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",puma,106258,19952,14914,71392,0.187769391481112,0.140356490805398,0.67187411771349,20180,83149,0.189915112273899,0.78251990438367,76740,26589,2929,15849,0.722204445782906,0.250230570874664,0.0275649833424307,0.149155828267048,16552,14278,30830,0.820218037661051,0.171715835427967,0.298367350888908,3628,68871,72499,0.179781962338949,0.828284164572033,0.701632649111092,2279,0.021447796871765,60755,0.571768713885072,12932,0.121703777597922,0.252715089687365,0.593943803794261,37158,0.349696022887688,NA,0.0445651060342178,2610,18657,0.179005238616084,8692,20936,14109,19721,10629,30350,0.111044394762057,0.267467262855318,0.180249121686362,0.251945065474289,0.135790482274034,0.387735547748323,93545,6467,1956,2121,408,0.895193163440099,0.0618869441227978,0.0187182407150445,0.0202972334133994,0.00390441830865958,44849,2320,7540,972,3882,24213,15849,4787,0.539878258155143,0.353385805703583,0.106735936141274,85471.6849874022,66701,97211,61129,36080,35392,3957,4744,10865,3343,2291,9116,6504,1672,0.804477245869473,0.78913688153582,0.0882293919596869,0.105777163370421,0.24225735244933,0.074539008673549,0.0510825213494169,0.203259827420901,0.145019955851858,0.0372806528573658,48952,40074,7149,32925,0.893531628352918,0.939421813403417,0.88415370982035,1096,17061,18157,0.0603623946687228,0.939637605331277,0.404847376753105,44849,0.91618319986926,4103,0.0838168001307403,7610,0.169680483399853,37239,0.830319516600147,1378,298,100,362,168,0,1797,0.0356837662169511,3258,1573,0.0874889229034077,0.0422406616719031,10078,7925,0.786366342528279,28200,23858,0.846028368794326,1575,1208,0.766984126984127,4841,4302,0.888659367899194,6348,0.170466446467413,12305,0.330433148043718,36632,0.98369988452966,7179,12887,8892,4799,0.195976195675912,0.351796243721337,0.242738589211618,0.131005678095654,2933,1105,27.8,33,17.9,1439,1315,0.298,17769,8991,8778,0.496299192805072,0.251124207468648,0.245174985336424
3604011,309,sba,BK 09,South Crown Heights,2021,1,795,79500US3604011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",puma,109967,20112,20111,69744,0.182891231005665,0.182882137368483,0.634226631625851,27909,79118,0.253794320114216,0.719470386570517,78285,28742,2940,14936,0.711895386797858,0.261369319886875,0.0267352933152673,0.135822564951304,22722,9724,32446,0.814145974416855,0.122905027932961,0.303157147261906,5187,69342,74529,0.185854025583145,0.87643772592836,0.696356994029544,3083,0.0280356834323024,59723,0.543099293424391,10957,0.0996389826038721,0.258386606891158,0.62756559246135,40096,0.364618476452026,NA,0.131592438850943,7957,24101,0.22364819093752,10196,19645,13782,21431,11125,32556,0.125885868088994,0.242548830777588,0.170160752648344,0.26459984690224,0.137355853520014,0.401955700422253,98708,6289,1498,2383,315,0.903977361186157,0.0575952670958761,0.0137188281300083,0.0218237432802469,0.00288480030771203,45915,2942,9652,651,4570,24959,14936,6020,0.543591418926277,0.325296743983448,0.131111837090276,89011.4929761516,62958,107980,56884,35140,33273,6844,5839,12782,2849,3739,12865,8066,5866,0.765327235108352,0.724665142110421,0.149058042034194,0.127169770227594,0.27838397038005,0.0620494391810955,0.0814330828705216,0.280191658499401,0.175672438201024,0.127757813350757,48945,39676,7464,32212,0.86411847979963,0.896684286400769,0.856907238434732,868,16637,17505,0.0495858326192516,0.950414167380748,0.3812479581836,45915,0.938093778731229,3030,0.0619062212687711,8324,0.181291516933464,37591,0.818708483066536,900,495,103,446,189,0,897,0.0233820893195812,2146,1427,0.0570881327977441,0.0379612141204012,10800,8040,0.744444444444444,26698,22515,0.84332159712338,1199,775,0.646371976647206,4283,3918,0.914779360261499,4932,0.131201617408422,13391,0.356228884573435,36433,0.969194754063473,6274,12036,10260,4278,0.172206516070595,0.330359838607856,0.281612823539099,0.117421019405484,3209,1109,21.9,23.6,16.6,1495,1409,0.298,17552,6549,11003,0.494617595671532,0.184551654173477,0.310065941498056
3604013,310,sba,BK 10,Bay Ridge,2019,1,795,79500US3604013,"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",puma,121925,24740,22919,74266,0.20291162599959,0.187976214886201,0.60911215911421,49690,71388,0.407545622308796,0.585507484109083,101099,19979,847,14981,0.829190075866311,0.163863030551569,0.00694689358212016,0.122870617182694,39740,33612,73352,0.799758502716844,0.470835434526811,0.605824344637341,9820,37776,47596,0.197625276715637,0.529164565473189,0.393101967326847,28780,0.236046750051261,2601,0.0213327865491081,21701,0.177986467090424,0.535632561000615,0.625245421136879,46425,0.380766864875948,NA,0.035916606284171,2181,17264,0.142445770109821,14142,20052,9008,24805,16913,41718,0.159000708318811,0.225447758676905,0.101278346806382,0.278886477856605,0.190155492843731,0.469041970700336,109013,6987,1313,1087,1842,0.906613329784934,0.0581078159045924,0.0109196453818133,0.00904010246003892,0.0153191064686216,48951,7004,6682,2890,3651,31526,14981,2444,0.64403178688893,0.306040734612163,0.0499274784989071,104488.180016751,76569,109717,65627,37379,36222,5152,10685,14628,3424,1506,7035,10244,2013,0.763600335028906,0.739964454250169,0.105248105248105,0.21827950399379,0.298829441686585,0.0699474985189271,0.0307654593368879,0.143715143715144,0.209270494984781,0.0411227554084697,53435,46994,17738,29256,0.960021245735531,0.939214232765011,0.973091634791286,4019,6310,10329,0.389098654274373,0.610901345725627,0.21100692529264,48951,0.916084963039207,4484,0.0839150369607935,18886,0.385814385814386,30065,0.614185614185614,1048,475,412,259,579,0,1711,0.0336836692057982,3103,1439,0.103209712290038,0.0478629635789124,29312,16596,0.566184497816594,NA,NA,NA,8945,4758,0.531917272219117,8602,7183,0.835038363171355,7687,0.255679361383669,10314,0.343056710460669,29405,0.978047563612174,2947,9039,12119,3335,0.100221050841694,0.307396701241285,0.412140792382248,0.113416085699711,2909,1075,19.3,23.5,13.7,1612,1559,0.277,13180,5024,8156,0.455897613282601,0.173780698720166,0.282116914562435
3604013,310,sba,BK 10,Bay Ridge,2021,1,795,79500US3604013,"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",puma,111952,22155,21290,68507,0.1978973131342,0.190170787480349,0.611931899385451,48955,62111,0.437285622409604,0.554800271544948,90421,20645,886,13479,0.807676504216093,0.184409389738459,0.00791410604544805,0.120399814206088,39140,24041,63181,0.799509753855582,0.387065093139701,0.5688599571426,9702,37511,47213,0.198182003881115,0.603934890760091,0.425089586372067,24114,0.215395883950264,2032,0.0181506359868515,25465,0.227463555809633,0.508762684007432,0.642696029730549,40312,0.360082892668286,NA,0.11450992953235101,6435,17361,0.156553496550791,13552,15756,9275,22782,14979,37761,0.16655196145905,0.193638776914758,0.113988300068823,0.27998721856258,0.18408956838069,0.46407678694327,97399,9193,2230,1020,1010,0.878639988453073,0.0829303936780572,0.0201169126402771,0.00920145779958864,0.00911124742900444,43773,6763,5021,2360,3061,27048,13479,3246,0.617915153176616,0.307929545610308,0.0741553012130765,107258.138578576,73633,99057,63786,33678,32684,5018,9318,14401,3271,2040,6922,10493,7430,0.769378383935303,0.746670321887922,0.114636876613438,0.212870947844562,0.328992758092888,0.0747264295341877,0.0466040710026729,0.158134009549266,0.239713978936788,0.169739337034245,50104,40656,16347,24309,0.928791720923857,0.895137443872522,0.952883070048214,2997,6127,9124,0.328474353353792,0.671525646646208,0.208438992072739,43773,0.873642822928309,6331,0.126357177071691,18262,0.4171978160053,25511,0.5828021839947,1114,981,747,1910,732,81,766,0.0418403755868545,3468,2090,0.135941358629611,0.0819254439261495,25539,14156,0.55428951799209,NA,NA,NA,7813,3322,0.425188787917573,8828,6703,0.759288627095605,5417,0.21233977499902,8489,0.33275841793736,NA,NA,0,0,NA,NA,NA,NA,NA,NA,2992,1091,21.4,24,16.4,1621,1515,0.303,12013,4944,7069,0.50483274499916,0.207766011094302,0.297066733904858
3604017,311,sba,BK 11,Bensonhurst,2019,1,795,79500US3604017,"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",puma,186959,40330,30889,115740,0.215715745163378,0.165218042458507,0.619066212378115,72178,113851,0.386063254510347,0.608962392824095,160711,25318,930,13721,0.859605581972518,0.135420065361924,0.00497435266555769,0.0733904224990506,65268,59711,124979,0.904264457313863,0.524466188263608,0.671825360562063,6910,54140,61050,0.0957355426861371,0.475533811736392,0.328174639437937,76601,0.409720847886435,2026,0.0108366005380859,29887,0.159858578618842,0.384415834487775,0.65868109593303,105639,0.56503832391059,NA,0.0452799697783747,4315,27050,0.145652501669215,33330,34004,12931,29078,14716,43794,0.250432038470208,0.2554962807123,0.0971598166654144,0.218483732812383,0.11057179352318,0.329055526335562,167838,14322,1306,633,1491,0.904348294627943,0.0771701061479606,0.00703701708066167,0.00341074411336818,0.00803383803006628,65746,7658,8728,2345,5357,47211,13721,4814,0.718081708392906,0.208697107048338,0.0732211845587564,79798.6326164329,57139,82899,50742,51654,49809,8958,9943,19114,6677,2756,14843,10264,3219,0.78565996410428,0.757597420375384,0.136251635080461,0.151233535120007,0.290724911021203,0.101557509202081,0.041918900009126,0.225762784047699,0.156115961427311,0.0489611535302528,68574,61222,21476,39746,0.931189730173699,0.895206335973322,0.951863205287863,802,6536,7338,0.109294085581902,0.890705914418098,0.111611352781918,65746,0.958759879837839,2828,0.0412401201621606,23990,0.364889118729657,41756,0.635110881270343,575,138,252,129,273,0,1461,0.0135834258581182,7781,1844,0.186344477440368,0.0441613181339209,31848,21748,0.682868625973373,NA,NA,NA,22709,9946,0.43797613281078,8595,8056,0.937289121582315,13654,0.326994922885334,14107,0.337843663186129,40367,0.966735319475046,5353,17379,13757,2754,0.132608318676146,0.430524933733,0.340798176728516,0.068224044392697,3070,1032,24.4,33.1,16.4,1444,1359,0.333,22538,10011,12527,0.564904629420758,0.250921121888864,0.313983507531895
3604017,311,sba,BK 11,Bensonhurst,2021,1,795,79500US3604017,"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",puma,206519,48768,33289,124462,0.236142921474537,0.161190980006682,0.60266609851878,69531,135846,0.336680886504389,0.657789355943037,179748,25629,1142,14464,0.870370280700565,0.124099961746861,0.00552975755257386,0.0700371394399547,60805,68847,129652,0.874502020681423,0.50680181970761,0.631287826777098,8100,66999,75099,0.116494800880183,0.49319818029239,0.365664120130297,75529,0.365724219079116,2889,0.0139890276439456,40850,0.197802623487427,0.379761668417918,0.682705300026478,113736,0.55072898861606,NA,0.117384937899649,11143,47206,0.230706448696332,35970,35147,15877,30600,15772,46372,0.254350546956208,0.248530961186262,0.112269214179141,0.216378280146232,0.111526739688444,0.327905019834676,187562,13809,1343,629,1136,0.917267787890199,0.0675326072604033,0.00656791161928609,0.00307611050523526,0.00555558272487639,69689,7558,9218,1806,4564,50806,14464,4419,0.729039016200548,0.207550689491885,0.0634102943075665,79623.8775129504,55977,76572,51105,54399,52695,7351,8314,20516,7372,4243,19200,11448,11812,0.780596650834422,0.756145159207335,0.105482931309102,0.119301467950466,0.294393663275409,0.105784270114365,0.060884788130121,0.275509764812237,0.164272697269296,0.169495903227195,76452,63155,19544,43611,0.906240583162335,0.859076923076923,0.929099469524276,681,5931,6612,0.102994555353902,0.897005444646098,0.0948786752572142,69689,0.911539266467849,6763,0.0884607335321509,22750,0.326450372368667,46939,0.673549627631334,1607,235,451,286,926,86,3172,0.0331026243150826,9213,3049,0.19627601781035,0.0649566458595198,31818,22722,0.714124080709033,NA,NA,NA,23013,10551,0.458479989571112,11335,10735,0.947066607851787,17336,0.369330407550225,15412,0.328341038368947,45417,0.967574937685081,6475,14553,18275,4453,0.142567760970562,0.32043067573816,0.402382367835832,0.098046986811106,3097,1012,27.7,43.2,17.5,1546,1424,0.339,25093,10312,14781,0.562724255471833,0.231252242554718,0.331472012917115
3604014,312,sba,BK 12,Borough Park,2019,1,795,79500US3604014,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",puma,153470,57939,18187,77344,0.377526552420669,0.118505245324819,0.503968202254512,52629,99216,0.342926956408419,0.64648465498143,140587,11258,1625,7930,0.916055255098716,0.0733563562911318,0.0105883886101518,0.0516713364175409,46581,51085,97666,0.885082369036083,0.514886711820674,0.64319536369324,6048,48131,54179,0.114917630963917,0.485113288179326,0.35680463630676,19564,0.127477682934776,2366,0.0154166938163811,16048,0.104567667948133,0.721430898546947,0.452114827346986,40639,0.264800938294129,NA,0.0398506030701754,2326,40655,0.267821263644688,17592,27177,8124,15523,11385,26908,0.211806349856123,0.327209025127322,0.0978123457384688,0.186895746294713,0.137074539171894,0.323970285466607,140927,7157,963,591,759,0.937033318483746,0.0475873853866766,0.006403053252392,0.00392959965956768,0.00504664321761737,43697,4329,6116,741,2816,33978,7930,1789,0.777581985033297,0.181476989266998,0.0409410256997048,85625.1756413484,55071,82497,41109,36669,35238,5942,7594,10234,3125,2756,11863,4292,2145,0.839165160079639,0.806416916493123,0.13598187518594,0.173787674211044,0.23420372107925,0.0715152069936151,0.0630706913518091,0.271483168180882,0.0982218458933107,0.0490880380804174,48050,40314,13603,26711,0.922580497516992,0.923928547171093,0.921895492510527,1583,6074,7657,0.206738931696487,0.793261068303513,0.175229420784036,43697,0.909406867845994,4353,0.0905931321540062,14723,0.336933885621439,28974,0.663066114378561,1017,569,235,74,445,0,2013,0.0339101730519156,6998,3017,0.241526886173811,0.104127838751985,30099,19137,0.635801853882189,1062,669,0.629943502824859,6274,3933,0.626872808415684,5203,4321,0.830482413991928,12569,0.433802719679713,8665,0.299061227307241,27492,0.948850693725409,3937,8296,8981,3970,0.143205296086134,0.301760512148989,0.326676851447694,0.144405645278627,2944,1182,28.6,35.5,19.2,1584,1473,0.405,17564,6728,10836,0.64289897510981,0.246266471449488,0.396632503660322
3604014,312,sba,BK 12,Borough Park,2021,1,795,79500US3604014,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",puma,172253,67809,19758,84686,0.393659326688069,0.114703372365068,0.491637300946863,57033,113464,0.331100184031628,0.658705508757467,155056,15441,1756,9998,0.900164293219857,0.0896413995692383,0.0101943072109049,0.0580425304639106,48248,58815,107063,0.845966370346992,0.51835824578721,0.627946532783568,8785,54020,62805,0.154033629653008,0.476098145667348,0.36836425274345,21359,0.123997840385944,5625,0.0326554544768451,18588,0.107911037833884,0.673909888361886,0.517758827154217,40987,0.237946508914213,NA,0.132169465468307,8941,40567,0.238146115236725,16701,27250,10388,16675,13367,30042,0.185364824968368,0.302448445026527,0.115296676951764,0.185076250305223,0.148360673932829,0.333436924238052,153936,10994,964,675,665,0.920482676967602,0.0657402202901324,0.00576437805709365,0.00403626056902305,0.00397646411614863,47738,5941,6104,2038,3177,35529,9998,2211,0.744249863840127,0.209434831790188,0.0463153043696845,83139.3816247015,57754,84093,45532,39251,37592,7042,6378,10840,3238,3679,14495,6304,9329,0.822217101680003,0.787464912648205,0.1475135112489,0.133604256567095,0.227072772215007,0.0678285642465122,0.0770664879131928,0.303636515983074,0.132054128786292,0.195420838744815,54686,43893,13819,30074,0.919456198416356,0.888053467000835,0.934642757248967,2009,8870,10879,0.184667708429084,0.815332291570916,0.227889731450836,47738,0.872947372270782,6948,0.127052627729218,15561,0.325966735095731,32177,0.674033264904269,992,122,271,667,330,0,4566,0.0299074436974283,8345,3731,0.259346738353482,0.115952388351928,30615,19354,0.632173771027274,1678,1266,0.754469606674613,6022,4148,0.688807705081368,6848,5688,0.830607476635514,13054,0.405693507785064,10540,0.327563166236753,NA,NA,0,0,NA,NA,NA,NA,NA,NA,3196,1078,24.7,34.5,17.9,1632,1515,0.379,18645,6238,12407,0.617057188244639,0.206446915541435,0.410610272703204
